Date,Time,GHI_clear,GHI
2/18,23,490,490
2/19,0,297,297
2/19,1,94,62
2/19,2,0,0
2/19,3,0,0
2/19,4,0,0
2/19,5,0,0
2/19,6,0,0
2/19,7,0,0
2/19,8,0,0
2/19,9,0,0
2/19,10,0,0
2/19,11,0,0
2/19,12,0,0
2/19,13,0,0
2/19,14,0,0
2/19,15,54,33
2/19,16,254,241
2/19,17,457,457
2/19,18,628,628
2/19,19,735,603
2/19,20,782,620
2/19,21,756,462
2/19,22,669,504
2/19,23,515,338
2/20,0,317,290
2/20,1,106,82
2/20,2,0,0
2/20,3,0,0
2/20,4,0,0
2/20,5,0,0
2/20,6,0,0
2/20,7,0,0
2/20,8,0,0
2/20,9,0,0
2/20,10,0,0
2/20,11,0,0
2/20,12,0,0
2/20,13,0,0
2/20,14,0,0
2/20,15,59,59
2/20,16,265,265
2/20,17,474,474
2/20,18,644,644
2/20,19,754,754
2/20,20,795,795
2/20,21,767,767
2/20,22,673,673
2/20,23,517,517
2/21,0,317,317
2/21,1,104,104
2/21,2,0,0
2/21,3,0,0
2/21,4,0,0
2/21,5,0,0
2/21,6,0,0
2/21,7,0,0
2/21,8,0,0
2/21,9,0,0
2/21,10,0,0
2/21,11,0,0
2/21,12,0,0
2/21,13,0,0
2/21,14,0,0
2/21,15,62,50
2/21,16,266,266
2/21,17,470,470
2/21,18,636,636
2/21,19,747,747
2/21,20,792,792
2/21,21,763,763
2/21,22,668,668
2/21,23,514,514
2/22,0,317,317
2/22,1,106,106
2/22,2,0,0
2/22,3,0,0
2/22,4,0,0
2/22,5,0,0
2/22,6,0,0
2/22,7,0,0
2/22,8,0,0
2/22,9,0,0
2/22,10,0,0
2/22,11,0,0
2/22,12,0,0
2/22,13,0,0
2/22,14,0,0
2/22,15,59,59
2/22,16,258,258
2/22,17,461,461
2/22,18,628,628
2/22,19,740,697
2/22,20,785,785
2/22,21,755,452
2/22,22,659,231
2/22,23,506,193
2/23,0,311,166
2/23,1,104,78
2/23,2,0,0
2/23,3,0,0
2/23,4,0,0
2/23,5,0,0
2/23,6,0,0
2/23,7,0,0
2/23,8,0,0
2/23,9,0,0
2/23,10,0,0
2/23,11,0,0
2/23,12,0,0
2/23,13,0,0
2/23,14,0,0
2/23,15,67,24
2/23,16,273,83
2/23,17,482,117
2/23,18,652,269
2/23,19,764,440
2/23,20,813,478
2/23,21,788,438
2/23,22,693,390
2/23,23,536,428
2/24,0,334,334
2/24,1,118,118
2/24,2,0,0
2/24,3,0,0
2/24,4,0,0
2/24,5,0,0
2/24,6,0,0
2/24,7,0,0
2/24,8,0,0
2/24,9,0,0
2/24,10,0,0
2/24,11,0,0
2/24,12,0,0
2/24,13,0,0
2/24,14,0,0
2/24,15,73,73
2/24,16,283,283
2/24,17,492,492
2/24,18,660,660
2/24,19,771,771
2/24,20,815,815
2/24,21,788,788
2/24,22,692,692
2/24,23,530,530
2/25,0,330,330
2/25,1,115,115
2/25,2,0,0
2/25,3,0,0
2/25,4,0,0
2/25,5,0,0
2/25,6,0,0
2/25,7,0,0
2/25,8,0,0
2/25,9,0,0
2/25,10,0,0
2/25,11,0,0
2/25,12,0,0
2/25,13,0,0
2/25,14,0,0
2/25,15,73,73
2/25,16,282,282
2/25,17,492,492
2/25,18,660,660
2/25,19,772,772
2/25,20,817,817
2/25,21,789,789
2/25,22,693,693
2/25,23,535,535
2/26,0,333,333
2/26,1,117,117
2/26,2,0,0
2/26,3,0,0
2/26,4,0,0
2/26,5,0,0
2/26,6,0,0
2/26,7,0,0
2/26,8,0,0
2/26,9,0,0
2/26,10,0,0
2/26,11,0,0
2/26,12,0,0
2/26,13,0,0
2/26,14,0,0
2/26,15,75,75
2/26,16,280,280
2/26,17,482,482
2/26,18,646,646
2/26,19,753,753
2/26,20,795,795
2/26,21,769,769
2/26,22,674,674
2/26,23,519,510
2/27,0,322,274
2/27,1,113,36
2/27,2,0,0
2/27,3,0,0
2/27,4,0,0
2/27,5,0,0
2/27,6,0,0
2/27,7,0,0
2/27,8,0,0
2/27,9,0,0
2/27,10,0,0
2/27,11,0,0
2/27,12,0,0
2/27,13,0,0
2/27,14,0,0
2/27,15,80,12
2/27,16,289,91
2/27,17,494,241
2/27,18,661,438
2/27,19,770,600
2/27,20,813,717
2/27,21,784,421
2/27,22,689,445
